Difficulty,Title,Frequency,Acceptance Rate,Link,Topics,,,,
MEDIUM,Bulb Switcher,100,0.537185138,https://leetcode.com/problems/bulb-switcher,"Math, Brainteaser",,,,
EASY,Happy Number,99.1,0.575614823,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers",,,,
EASY,Two Sum,97,0.550738321,https://leetcode.com/problems/two-sum,"Array, Hash Table",,,,
EASY,Climbing Stairs,92.4,0.533430953,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization",,,,
EASY,Best Time to Buy and Sell Stock,86.7,0.547698288,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming",,,,
EASY,Palindrome Number,86.7,0.586535859,https://leetcode.com/problems/palindrome-number,Math,,,,
MEDIUM,Rotate Array,83.2,0.424612903,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers",,,,
EASY,Roman to Integer,81.3,0.641538452,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String",,,,
MEDIUM,Maximum Subarray,79.2,0.517337266,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming",,,,
EASY,Valid Parentheses,79.2,0.418451603,https://leetcode.com/problems/valid-parentheses,"String, Stack",,,,
MEDIUM,Delete and Earn,79.2,0.566313523,https://leetcode.com/problems/delete-and-earn,"Array, Hash Table, Dynamic Programming",,,,
EASY,Find Subsequence of Length K With the Largest Sum,76.9,0.450214357,https://leetcode.com/problems/find-subsequence-of-length-k-with-the-largest-sum,"Array, Hash Table, Sorting, Heap (Priority Queue)",,,,
EASY,Maximum Area of Longest Diagonal Rectangle,76.9,0.366585439,https://leetcode.com/problems/maximum-area-of-longest-diagonal-rectangle,Array,,,,
EASY,Ant on the Boundary,76.9,0.747463161,https://leetcode.com/problems/ant-on-the-boundary,"Array, Simulation, Prefix Sum",,,,
EASY,Sum of Values at Indices With K Set Bits,76.9,0.861077086,https://leetcode.com/problems/sum-of-values-at-indices-with-k-set-bits,"Array, Bit Manipulation",,,,
EASY,Permutation Difference between Two Strings,76.9,0.88014966,https://leetcode.com/problems/permutation-difference-between-two-strings,"Hash Table, String",,,,
EASY,Longest Common Prefix,76.9,0.448879208,https://leetcode.com/problems/longest-common-prefix,"String, Trie",,,,
EASY,Minimum Right Shifts to Sort the Array,76.9,0.579992036,https://leetcode.com/problems/minimum-right-shifts-to-sort-the-array,Array,,,,
EASY,Count Tested Devices After Test Operations,76.9,0.795528834,https://leetcode.com/problems/count-tested-devices-after-test-operations,"Array, Simulation, Counting",,,,
MEDIUM,Longest Palindromic Substring,74.4,0.352983546,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming",,,,
MEDIUM,3Sum,71.5,0.364231128,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting",,,,
MEDIUM,Spiral Matrix,71.5,0.529329331,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation",,,,
MEDIUM,Reverse Integer,71.5,0.29864351,https://leetcode.com/problems/reverse-integer,Math,,,,
