Difficulty,Title,Frequency,Acceptance Rate,Link,Topics,
EASY,Count Subarrays of Length Three With a Condition,100,0.530042569,https://leetcode.com/problems/count-subarrays-of-length-three-with-a-condition,Array,
MEDIUM,Smallest Value of the Rearranged Number,100,0.526602377,https://leetcode.com/problems/smallest-value-of-the-rearranged-number,"Math, Sorting",
EASY,Palindrome Number,97.4,0.586536177,https://leetcode.com/problems/palindrome-number,Math,
EASY,Fibonacci Number,87.3,0.725366417,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization",
MEDIUM,Managers with at Least 5 Direct Reports,77.2,0.491286026,https://leetcode.com/problems/managers-with-at-least-5-direct-reports,Database,
EASY,Two Sum,77.2,0.550738659,https://leetcode.com/problems/two-sum,"Array, Hash Table",
EASY,Valid Anagram,70.1,0.661506244,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting",
EASY,Valid Parentheses,70.1,0.418452727,https://leetcode.com/problems/valid-parentheses,"String, Stack",
EASY,Binary Search,70.1,0.591425434,https://leetcode.com/problems/binary-search,"Array, Binary Search",
MEDIUM,Reverse Integer,70.1,0.298643516,https://leetcode.com/problems/reverse-integer,Math,
EASY,Longest Common Prefix,70.1,0.44888001,https://leetcode.com/problems/longest-common-prefix,"String, Trie",
MEDIUM,Maximum Subarray,70.1,0.517337908,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming",
EASY,Product Sales Analysis I,60,0.842926271,https://leetcode.com/problems/product-sales-analysis-i,Database,
EASY,Students and Examinations,60,0.602533886,https://leetcode.com/problems/students-and-examinations,Database,
MEDIUM,Longest Palindromic Substring,60,0.352984418,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming",
EASY,Remove Duplicates from Sorted Array,60,0.594508542,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers",
EASY,Merge Two Sorted Lists,60,0.662896099,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion",
MEDIUM,Count Primes,60,0.344303377,https://leetcode.com/problems/count-primes,"Array, Math, Enumeration, Number Theory",
MEDIUM,Consecutive Numbers,60,0.453803949,https://leetcode.com/problems/consecutive-numbers,Database,
EASY,Counter,60,0.820480855,https://leetcode.com/problems/counter,,
MEDIUM,3Sum,60,0.364231728,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting",
EASY,Move Zeroes,60,0.62544607,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers",
EASY,Happy Number,60,0.57561617,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers",
EASY,Fizz Buzz,60,0.739031237,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation",
