Difficulty,Title,Frequency,Acceptance Rate,Link,,Topics
EASY,Two Sum,100,0.550737932,https://leetcode.com/problems/two-sum,,"Array, Hash Table"
HARD,Trapping Rain Water,73.6,0.642875302,https://leetcode.com/problems/trapping-rain-water,,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Add Two Numbers,73.3,0.454396508,https://leetcode.com/problems/add-two-numbers,,"Linked List, Math, Recursion"
HARD,Median of Two Sorted Arrays,73,0.429393638,https://leetcode.com/problems/median-of-two-sorted-arrays,,"Array, Binary Search, Divide and Conquer"
EASY,Longest Common Prefix,70.2,0.448878988,https://leetcode.com/problems/longest-common-prefix,,"String, Trie"
MEDIUM,Longest Substring Without Repeating Characters,68.2,0.363266893,https://leetcode.com/problems/longest-substring-without-repeating-characters,,"Hash Table, String, Sliding Window"
EASY,Valid Parentheses,68.2,0.418451765,https://leetcode.com/problems/valid-parentheses,,"String, Stack"
MEDIUM,Longest Consecutive Sequence,66.2,0.471906746,https://leetcode.com/problems/longest-consecutive-sequence,,"Array, Hash Table, Union Find"
MEDIUM,Maximum Subarray,63.5,0.517336956,https://leetcode.com/problems/maximum-subarray,,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Search in Rotated Sorted Array,58,0.42323967,https://leetcode.com/problems/search-in-rotated-sorted-array,,"Array, Binary Search"
MEDIUM,Rotate Image,57.8,0.771707576,https://leetcode.com/problems/rotate-image,,"Array, Math, Matrix"
HARD,Find Median from Data Stream,57,0.529743002,https://leetcode.com/problems/find-median-from-data-stream,,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
EASY,Reverse Linked List,55.9,0.786500348,https://leetcode.com/problems/reverse-linked-list,,"Linked List, Recursion"
MEDIUM,Jump Game,54.7,0.391136029,https://leetcode.com/problems/jump-game,,"Array, Dynamic Programming, Greedy"
MEDIUM,Group Anagrams,54.7,0.703370025,https://leetcode.com/problems/group-anagrams,,"Array, Hash Table, String, Sorting"
EASY,Single Number,54.4,0.753312585,https://leetcode.com/problems/single-number,,"Array, Bit Manipulation"
EASY,Find the Index of the First Occurrence in a String,53.9,0.444635909,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,,"Two Pointers, String, String Matching"
HARD,Maximal Rectangle,53.6,0.528877139,https://leetcode.com/problems/maximal-rectangle,,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
EASY,Pascal's Triangle,53.6,0.764254846,https://leetcode.com/problems/pascals-triangle,,"Array, Dynamic Programming"
MEDIUM,4Sum,53.6,0.376016154,https://leetcode.com/problems/4sum,,"Array, Two Pointers, Sorting"
MEDIUM,Jump Game II,51.3,0.411384658,https://leetcode.com/problems/jump-game-ii,,"Array, Dynamic Programming, Greedy"
MEDIUM,Insert Interval,49.7,0.429441886,https://leetcode.com/problems/insert-interval,,Array
HARD,Text Justification,49.7,0.470932966,https://leetcode.com/problems/text-justification,,"Array, String, Simulation"
HARD,First Missing Positive,49,0.406343023,https://leetcode.com/problems/first-missing-positive,,"Array, Hash Table"
EASY,Valid Anagram,48.7,0.661504139,https://leetcode.com/problems/valid-anagram,,"Hash Table, String, Sorting"
EASY,Add Binary,48,0.551921295,https://leetcode.com/problems/add-binary,,"Math, String, Bit Manipulation, Simulation"
MEDIUM,Find the Duplicate Number,45.1,0.623429267,https://leetcode.com/problems/find-the-duplicate-number,,"Array, Two Pointers, Binary Search, Bit Manipulation"
MEDIUM,Maximum Product Subarray,43.7,0.34529593,https://leetcode.com/problems/maximum-product-subarray,,"Array, Dynamic Programming"
EASY,Isomorphic Strings,42.2,0.464164706,https://leetcode.com/problems/isomorphic-strings,,"Hash Table, String"
HARD,Wildcard Matching,42.2,0.293644876,https://leetcode.com/problems/wildcard-matching,,"String, Dynamic Programming, Greedy, Recursion"
MEDIUM,Search a 2D Matrix,41.7,0.517771974,https://leetcode.com/problems/search-a-2d-matrix,,"Array, Binary Search, Matrix"
MEDIUM,String to Integer (atoi),41.7,0.187171228,https://leetcode.com/problems/string-to-integer-atoi,,String
MEDIUM,Minimum Path Sum,40.5,0.658477818,https://leetcode.com/problems/minimum-path-sum,,"Array, Dynamic Programming, Matrix"
MEDIUM,Copy List with Random Pointer,40.5,0.595040667,https://leetcode.com/problems/copy-list-with-random-pointer,,"Hash Table, Linked List"
EASY,Same Tree,40.5,0.644381734,https://leetcode.com/problems/same-tree,,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Symmetric Tree,40.5,0.586338342,https://leetcode.com/problems/symmetric-tree,,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,3Sum Closest,39.9,0.465982478,https://leetcode.com/problems/3sum-closest,,"Array, Two Pointers, Sorting"
HARD,Shortest Palindrome,39.9,0.403294461,https://leetcode.com/problems/shortest-palindrome,,"String, Rolling Hash, String Matching, Hash Function"
EASY,Contains Duplicate II,39.9,0.48127755,https://leetcode.com/problems/contains-duplicate-ii,,"Array, Hash Table, Sliding Window"
MEDIUM,Kth Smallest Element in a BST,38.7,0.747138382,https://leetcode.com/problems/kth-smallest-element-in-a-bst,,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
EASY,Missing Number,38,0.693472729,https://leetcode.com/problems/missing-number,,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
MEDIUM,Clone Graph,37.3,0.611911278,https://leetcode.com/problems/clone-graph,,"Hash Table, Depth-First Search, Breadth-First Search, Graph"
HARD,Word Search II,35.8,0.370157487,https://leetcode.com/problems/word-search-ii,,"Array, String, Backtracking, Trie, Matrix"
HARD,The Skyline Problem,35.8,0.436314782,https://leetcode.com/problems/the-skyline-problem,,"Array, Divide and Conquer, Binary Indexed Tree, Segment Tree, Line Sweep, Heap (Priority Queue), Ordered Set"
MEDIUM,Best Time to Buy and Sell Stock with Cooldown,35.8,0.59828886,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown,,"Array, Dynamic Programming"
MEDIUM,Flatten Binary Tree to Linked List,35.8,0.676833321,https://leetcode.com/problems/flatten-binary-tree-to-linked-list,,"Linked List, Stack, Tree, Depth-First Search, Binary Tree"
MEDIUM,Group Shifted Strings,35,0.669467987,https://leetcode.com/problems/group-shifted-strings,,"Array, Hash Table, String"
MEDIUM,Game of Life,34.2,0.709439582,https://leetcode.com/problems/game-of-life,,"Array, Matrix, Simulation"
MEDIUM,Integer to Roman,33.3,0.678581451,https://leetcode.com/problems/integer-to-roman,,"Hash Table, Math, String"
EASY,Missing Ranges,33.3,0.349845606,https://leetcode.com/problems/missing-ranges,,Array
MEDIUM,Graph Valid Tree,32.4,0.490722021,https://leetcode.com/problems/graph-valid-tree,,"Depth-First Search, Breadth-First Search, Union Find, Graph"
EASY,Binary Tree Paths,31.4,0.658080277,https://leetcode.com/problems/binary-tree-paths,,"String, Backtracking, Tree, Depth-First Search, Binary Tree"
MEDIUM,Subsets II,31.4,0.589059278,https://leetcode.com/problems/subsets-ii,,"Array, Backtracking, Bit Manipulation"
MEDIUM,Second Highest Salary,31.4,0.429769927,https://leetcode.com/problems/second-highest-salary,,Database
MEDIUM,Binary Tree Right Side View,31.4,0.656355993,https://leetcode.com/problems/binary-tree-right-side-view,,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Walls and Gates,31.4,0.625698019,https://leetcode.com/problems/walls-and-gates,,"Array, Breadth-First Search, Matrix"
MEDIUM,Fraction to Recurring Decimal,30.4,0.258838073,https://leetcode.com/problems/fraction-to-recurring-decimal,,"Hash Table, Math, String"
HARD,Number of Digit One,29.2,0.355516484,https://leetcode.com/problems/number-of-digit-one,,"Math, Dynamic Programming, Recursion"
EASY,Implement Stack using Queues,29.2,0.664929821,https://leetcode.com/problems/implement-stack-using-queues,,"Stack, Design, Queue"
MEDIUM,Lowest Common Ancestor of a Binary Search Tree,28.1,0.674216096,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Wiggle Sort,28.1,0.681011062,https://leetcode.com/problems/wiggle-sort,,"Array, Greedy, Sorting"
HARD,Read N Characters Given read4 II - Call Multiple Times,28.1,0.427494096,https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times,,"Array, Simulation, Interactive"
MEDIUM,3Sum Smaller,28.1,0.509277712,https://leetcode.com/problems/3sum-smaller,,"Array, Two Pointers, Binary Search, Sorting"
HARD,Department Top Three Salaries,28.1,0.568046047,https://leetcode.com/problems/department-top-three-salaries,,Database
HARD,Number of Islands II,28.1,0.399945353,https://leetcode.com/problems/number-of-islands-ii,,"Array, Hash Table, Union Find"
