Difficulty,Title,Frequency,Acceptance Rate,Link,Topics,
MEDIUM,Exclusive Time of Functions,100,0.640524043,https://leetcode.com/problems/exclusive-time-of-functions,"Array, Stack",
MEDIUM,Integer to Roman,92,0.678581007,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String",
EASY,Fizz Buzz,90,0.739029352,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation",
EASY,Best Time to Buy and Sell Stock,88.9,0.547698101,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming",
EASY,Roman to Integer,88.9,0.641538351,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String",
MEDIUM,Count Ways to Group Overlapping Ranges,85.4,0.376641233,https://leetcode.com/problems/count-ways-to-group-overlapping-ranges,"Array, Sorting",
EASY,Two Sum,85.4,0.550738088,https://leetcode.com/problems/two-sum,"Array, Hash Table",
MEDIUM,Meeting Rooms II,81.2,0.519155299,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum",
EASY,Minimum Absolute Difference,81.2,0.703279272,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting",
MEDIUM,Number of Divisible Triplet Sums,81.2,0.65984393,https://leetcode.com/problems/number-of-divisible-triplet-sums,"Array, Hash Table",
MEDIUM,Minimum Operations to Make All Array Elements Equal,79.6,0.365614341,https://leetcode.com/problems/minimum-operations-to-make-all-array-elements-equal,"Array, Binary Search, Sorting, Prefix Sum",
MEDIUM,Rotate Image,77.9,0.771707739,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix",
MEDIUM,Minimum Operations to Make Median of Array Equal to K,76,0.479335458,https://leetcode.com/problems/minimum-operations-to-make-median-of-array-equal-to-k,"Array, Greedy, Sorting",
MEDIUM,Maximum Profitable Triplets With Increasing Prices I,74,0.542545455,https://leetcode.com/problems/maximum-profitable-triplets-with-increasing-prices-i,"Array, Binary Indexed Tree, Segment Tree",
MEDIUM,Activity Participants,74,0.724097579,https://leetcode.com/problems/activity-participants,Database,
MEDIUM,The kth Factor of n,74,0.692542872,https://leetcode.com/problems/the-kth-factor-of-n,"Math, Number Theory",
MEDIUM,Minimum Levels to Gain More Points,71.8,0.400468149,https://leetcode.com/problems/minimum-levels-to-gain-more-points,"Array, Prefix Sum",
EASY,Type of Triangle,71.8,0.383585406,https://leetcode.com/problems/type-of-triangle,"Array, Math, Sorting",
EASY,Average Value of Even Numbers That Are Divisible by Three,71.8,0.613330679,https://leetcode.com/problems/average-value-of-even-numbers-that-are-divisible-by-three,"Array, Math",
MEDIUM,Taking Maximum Energy From the Mystic Dungeon,71.8,0.41054902,https://leetcode.com/problems/taking-maximum-energy-from-the-mystic-dungeon,"Array, Prefix Sum",
HARD,Find Products of Elements of Big Array,71.8,0.230103974,https://leetcode.com/problems/find-products-of-elements-of-big-array,"Array, Binary Search, Bit Manipulation",
MEDIUM,Find The First Player to win K Games in a Row,71.8,0.394313228,https://leetcode.com/problems/find-the-first-player-to-win-k-games-in-a-row,"Array, Simulation",
MEDIUM,String Compression,71.8,0.57272639,https://leetcode.com/problems/string-compression,"Two Pointers, String",
MEDIUM,Sort the Students by Their Kth Score,71.8,0.85577879,https://leetcode.com/problems/sort-the-students-by-their-kth-score,"Array, Sorting, Matrix",
