Difficulty,Title,Frequency,Acceptance Rate,Link,Topics,
EASY,Two Sum,100,0.550737993,https://leetcode.com/problems/two-sum,"Array, Hash Table",
EASY,Merge Sorted Array,83.9,0.522568382,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting",
MEDIUM,Longest Substring Without Repeating Characters,79.3,0.363266888,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window",
MEDIUM,Add Two Numbers,79.2,0.454396553,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion",
HARD,Trapping Rain Water,76.8,0.642875302,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",
MEDIUM,Longest Palindromic Substring,76.2,0.35298358,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming",
EASY,Valid Parentheses,74.2,0.418451716,https://leetcode.com/problems/valid-parentheses,"String, Stack",
MEDIUM,Merge Intervals,73.7,0.488064848,https://leetcode.com/problems/merge-intervals,"Array, Sorting",
MEDIUM,Maximum Subarray,73.5,0.517336956,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming",
HARD,Median of Two Sorted Arrays,72.2,0.429393638,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer",
EASY,Roman to Integer,72.2,0.641538129,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String",
MEDIUM,3Sum,71.7,0.364230481,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting",
HARD,Reverse Nodes in k-Group,70.9,0.620462453,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion",
MEDIUM,Spiral Matrix,70.7,0.529329227,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation",
MEDIUM,Group Anagrams,70.2,0.703370141,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting",
EASY,Merge Two Sorted Lists,69.9,0.662895185,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion",
MEDIUM,Search in Rotated Sorted Array,68.5,0.423239742,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search",
MEDIUM,Container With Most Water,67.6,0.571734975,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy",
MEDIUM,Rotate Image,67.3,0.771707576,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix",
HARD,Merge k Sorted Lists,67.3,0.557952833,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",
EASY,Palindrome Number,66.7,0.586535951,https://leetcode.com/problems/palindrome-number,Math,
EASY,Climbing Stairs,66.3,0.533430704,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization",
EASY,Longest Common Prefix,65.7,0.448879057,https://leetcode.com/problems/longest-common-prefix,"String, Trie",
EASY,Remove Duplicates from Sorted Array,64.3,0.594507443,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers",
MEDIUM,Sort Colors,63.9,0.663620742,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting",
MEDIUM,Letter Combinations of a Phone Number,63.6,0.630801684,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking",
MEDIUM,Set Matrix Zeroes,62.8,0.589320948,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix",
MEDIUM,Word Search,61.1,0.446262382,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix",
