Difficulty,Title,Frequency,Acceptance Rate,Link,Topics,
EASY,Two Sum,100,0.550738587,https://leetcode.com/problems/two-sum,"Array, Hash Table",
MEDIUM,Minimum Moves to Capture The Queen,100,0.213327098,https://leetcode.com/problems/minimum-moves-to-capture-the-queen,"Math, Enumeration",
EASY,Palindrome Number,82.8,0.586536049,https://leetcode.com/problems/palindrome-number,Math,
MEDIUM,Second Highest Salary,77.3,0.429768596,https://leetcode.com/problems/second-highest-salary,Database,
HARD,Median of Two Sorted Arrays,77.3,0.429394344,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer",
EASY,Valid Parentheses,77.3,0.418452649,https://leetcode.com/problems/valid-parentheses,"String, Stack",
EASY,Remove Duplicates from Sorted Array,77.3,0.594508597,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers",
MEDIUM,Reverse Integer,77.3,0.2986436,https://leetcode.com/problems/reverse-integer,Math,
MEDIUM,Count Primes,77.3,0.344303377,https://leetcode.com/problems/count-primes,"Array, Math, Enumeration, Number Theory",
MEDIUM,Sort Characters By Frequency,70.2,0.736541317,https://leetcode.com/problems/sort-characters-by-frequency,"Hash Table, String, Sorting, Heap (Priority Queue), Bucket Sort, Counting",
MEDIUM,Kth Largest Element in an Array,70.2,0.676203456,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",
MEDIUM,Longest Substring Without Repeating Characters,70.2,0.363267697,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window",
MEDIUM,Rotate Array,70.2,0.42461415,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers",
EASY,Valid Palindrome,70.2,0.501551134,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String",
EASY,Majority Element,60.2,0.654976426,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting",
EASY,Linked List Cycle,60.2,0.519722655,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers",
EASY,Article Views I,60.2,0.771246908,https://leetcode.com/problems/article-views-i,Database,
EASY,Binary Search,60.2,0.591425193,https://leetcode.com/problems/binary-search,"Array, Binary Search",
EASY,Find the Distance Value Between Two Arrays,60.2,0.697953201,https://leetcode.com/problems/find-the-distance-value-between-two-arrays,"Array, Two Pointers, Binary Search, Sorting",
EASY,Reverse Linked List,60.2,0.786501295,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion",
MEDIUM,Add Two Numbers,60.2,0.454398736,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion",
MEDIUM,Jump Game,60.2,0.391136203,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy",
EASY,Merge Sorted Array,60.2,0.522569762,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting",
EASY,Climbing Stairs,60.2,0.533430792,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization",
EASY,Roman to Integer,60.2,0.641539324,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String",
EASY,Create Hello World Function,60.2,0.818248871,https://leetcode.com/problems/create-hello-world-function,,
